"Constituency","ConstNo","LeadingCandidate","LeadingParty","TrailingCandidate","TrailingParty","Margin","Status","State"
"Thane","25","VICHARE RAJAN BABURAO","Shivsena","SANJEEV GANESH NAIK","Nationalist Congress Party","281299","Result Declared","Maharashtra"
"Wardha","8","RAMDAS CHANDRABHANJI TADAS","Bharatiya Janata Party","MEGHE SAGAR DATTATRAYA","Indian National Congress","215783","Result Declared","Maharashtra"
"Yavatmal-Washim","14","GAWALI BHAVANA PUNDLIKRAO","Shivsena","ADV.SHIVAJIRAO SHIVARAMJI MOGHE","Indian National Congress","93816","Result Declared","Maharashtra"
"Inner manipur","1","DR. THOKCHOM MEINYA","Indian National Congress","MOIRANGTHEM NARA","Communist Party of India","94674","Result Declared","Manipur"
"Outer manipur","2","THANGSO BAITE","Indian National Congress","SOSO LORHO","Naga Peoples Front","15637","Result Declared","Manipur"
"Shillong","1","VINCENT H. PALA","Indian National Congress","PRECHARD B. M. BASAIAWMOIT","Independent","40379","Result Declared","Meghalaya"
"Tura","2","PURNO AGITOK SANGMA","National Peoples Party","DARYL WILLIAM CH MOMIN","Indian National Congress","39716","Result Declared","Meghalaya"
"MIZORAM","1","C. L. RUALA","Indian National Congress","ROBERT ROMAWIA ROYTE","Independent","6154","Result Declared","Mizoram"
"Nagaland","1","NEIPHIU RIO","Naga Peoples Front","K. V. PUSA","Indian National Congress","400225","Result Declared","Nagaland"
"Aska","19","LADU KISHORE SWAIN","Biju Janata Dal","SRILOKANATH RATHA","Indian National Congress","311997","Result Declared","Odisha"
"Balasore","6","RABINDRA KUMAR JENA","Biju Janata Dal","PRATAP CHANDRA SARANGI","Bharatiya Janata Party","141825","Result Declared","Odisha"
"Bargarh","1","PRABHAS KUMAR SINGH","Biju Janata Dal","SUBASH CHOUHAN","Bharatiya Janata Party","11178","Result Declared","Odisha"
"Berhampur","20","SIDHANT MOHAPATRA","Biju Janata Dal","CHANDRA SEKHAR SAHU","Indian National Congress","127720","Result Declared","Odisha"
"Bhadrak","7","ARJUN CHARAN SETHI","Biju Janata Dal","SANGRAM KESHARI JENA","Indian National Congress","179359","Result Declared","Odisha"
"Bhubaneswar","18","PRASANNA KUMAR PATASANI","Biju Janata Dal","PRITHIVIRAJ HARICHANDAN","Bharatiya Janata Party","189477","Result Declared","Odisha"
"Bolangir","10","KALIKESH NARAYAN SINGH DEO","Biju Janata Dal","SANGEETA KUMARI SINGH DEO","Bharatiya Janata Party","104299","Result Declared","Odisha"
"Cuttack","14","BHARTRUHARI MAHATAB","Biju Janata Dal","APARAJITA  MOHANTY","Indian National Congress","306762","Result Declared","Odisha"
"Dhenkanal","9","TATHAGATA SATPATHY","Biju Janata Dal","RUDRA NARAYAN PANY","Bharatiya Janata Party","137340","Result Declared","Odisha"
"Jagatsinghpur","16","KULAMANI SAMAL","Biju Janata Dal","BIBHU PRASAD TARAI","Indian National Congress","276394","Result Declared","Odisha"
"Jajpur","8","RITA TARAI","Biju Janata Dal","ASOK DAS","Indian National Congress","320271","Result Declared","Odisha"
"Kalahandi","11","ARKA KESHARI DEO","Biju Janata Dal","PRADIPTA KUMAR NAIK","Bharatiya Janata Party","56347","Result Declared","Odisha"
"Kandhamal","13","HEMENDRA CHANDRA SINGH","Biju Janata Dal","HARIHAR KARAN","Indian National Congress","181017","Result Declared","Odisha"
"Kendrapara","15","BAIJAYANT PANDA","Biju Janata Dal","DHARANIDHAR NAYAK","Indian National Congress","209108","Result Declared","Odisha"
"Keonjhar","4","SAKUNTALA LAGURI","Biju Janata Dal","ANANTA NAYAK","Bharatiya Janata Party","157317","Result Declared","Odisha"
"Koraput","21","JHINA HIKAKA","Biju Janata Dal","GIRIDHAR GAMANG","Indian National Congress","19328","Result Declared","Odisha"
"Mayurbhanj","5","RAMA CHANDRA HANSDAH","Biju Janata Dal","NEPOLE RAGHU MURMU","Bharatiya Janata Party","122866","Result Declared","Odisha"
"Nabarangpur","12","BALABHADRA MAJHI","Biju Janata Dal","PRADEEP KUMAR MAJHI","Indian National Congress","2042","Result Declared","Odisha"
"Puri","17","PINAKI MISRA","Biju Janata Dal","SUCHARITA MOHANTY","Indian National Congress","263361","Result Declared","Odisha"
"Sambalpur","3","NAGENDRA KUMAR PRADHAN","Biju Janata Dal","SURESH PUJARI","Bharatiya Janata Party","30576","Result Declared","Odisha"
"Sundargarh","2","JUAL @ JUEL ORAM","Bharatiya Janata Party","DILIP KUMAR TIRKEY","Biju Janata Dal","18829","Result Declared","Odisha"
"Amritsar","2","CAPTAIN AMARINDER SINGH","Indian National Congress","ARUN JAITLEY","Bharatiya Janata Party","102770","Result Declared","Punjab"
"Anandpur Sahib","6","PREM SINGH CHANDUMAJRA","Shiromani Akali Dal","AMBIKA SONI","Indian National Congress","23697","Result Declared","Punjab"
"Bathinda","11","HARSIMRAT KAUR BADAL","Shiromani Akali Dal","MANPREET SINGH BADAL S/O GURDAS SINGH","Indian National Congress","19395","Result Declared","Punjab"
"Faridkot","9","PROF. SADHU SINGH","Aam Aadmi Party","PARAMJIT KAUR GULSHAN","Shiromani Akali Dal","172516","Result Declared","Punjab"
"Fatehgarh Sahib","8","HARINDER SINGH KHALSA","Aam Aadmi Party","SADHU SINGH","Indian National Congress","54144","Result Declared","Punjab"
"Firozpur","10","SHER SINGH GHUBAYA","Shiromani Akali Dal","SUNIL JAKHAR","Indian National Congress","31420","Result Declared","Punjab"
"Gurdaspur","1","VINOD KHANNA","Bharatiya Janata Party","PARTAP SINGH BAJWA","Indian National Congress","136065","Result Declared","Punjab"
"Hoshiarpur","5","VIJAY SAMPLA","Bharatiya Janata Party","MOHINDER SINGH KAYPEE","Indian National Congress","13582","Result Declared","Punjab"
"Jalandhar","4","SANTOKH SINGH CHAUDHARY","Indian National Congress","PAWAN KUMAR TINU","Shiromani Akali Dal","70981","Result Declared","Punjab"
"Khadoor Sahib","3","RANJIT SINGH BRAHMPURA","Shiromani Akali Dal","HARMINDER SINGH GILL","Indian National Congress","100569","Result Declared","Punjab"
"Ludhiana","7","RAVNEET SINGH BITTU","Indian National Congress","HARVINDER SINGH PHOOLKA","Aam Aadmi Party","19709","Result Declared","Punjab"
"Patiala","13","DR. DHARAM VIRA GANDHI","Aam Aadmi Party","PRENEET KAUR","Indian National Congress","20942","Result Declared","Punjab"
"Sangrur","12","BHAGWANT MANN","Aam Aadmi Party","SUKHDEV SINGH DHINDSA","Shiromani Akali Dal","211721","Result Declared","Punjab"
"Ajmer","13","SANWAR LAL JAT","Bharatiya Janata Party","SACHIN PILOT","Indian National Congress","171983","Result Declared","Rajasthan"
"Alwar","8","CHAND NATH","Bharatiya Janata Party","BHANWAR JITENDRA SINGH","Indian National Congress","283895","Result Declared","Rajasthan"
"Banswara","20","MANSHANKAR NINAMA","Bharatiya Janata Party","RESHAM MALVIYA","Indian National Congress","91916","Result Declared","Rajasthan"
"Barmer","17","COL. SONA RAM","Bharatiya Janata Party","JASWANT SINGH","Independent","87461","Result Declared","Rajasthan"
"BHARATPUR","9","BAHADUR SINGH","Bharatiya Janata Party","DR.SURESH JATAV","Indian National Congress","245468","Result Declared","Rajasthan"
"Bhilwara","23","SUBHASH BAHERIA","Bharatiya Janata Party","ASHOK CHANDNA","Indian National Congress","246264","Result Declared","Rajasthan"
"Bikaner","2","ARJUN RAM MEGHWAL","Bharatiya Janata Party","ER. SHANKAR PANNU","Indian National Congress","308079","Result Declared","Rajasthan"
"Chittorgarh","21","CHANDRA PRAKASH JOSHI","Bharatiya Janata Party","GIRIJA VYAS","Indian National Congress","316857","Result Declared","Rajasthan"
"Churu","3","RAHUL KASWAN","Bharatiya Janata Party","ABHINESH MAHARSHI","Bahujan Samaj Party","294739","Result Declared","Rajasthan"
"Dausa","11","HARISH CHANDRA MEENA","Bharatiya Janata Party","DR. KIRODI LAL","National Peoples Party","45404","Result Declared","Rajasthan"
"Ganganagar","1","NIHALCHAND","Bharatiya Janata Party","MASTER BHANWARLAL MEGHWAL","Indian National Congress","291741","Result Declared","Rajasthan"
"Jaipur","7","RAMCHARAN BOHARA","Bharatiya Janata Party","DR. MAHESH JOSHI","Indian National Congress","539345","Result Declared","Rajasthan"
"Jaipur Rural","6","RAJYAVARDHAN SINGH RATHORE","Bharatiya Janata Party","DR. C.P. JOSHI","Indian National Congress","332896","Result Declared","Rajasthan"
"Jalore","18","DEVJI PATEL","Bharatiya Janata Party","ANJANA UDAI LAL","Indian National Congress","381145","Result Declared","Rajasthan"
"JHALAWAR-BARAN","25","DUSHYANT SINGH","Bharatiya Janata Party","PRAMOD BHAYA","Indian National Congress","281546","Result Declared","Rajasthan"
"Jhunjhunu","4","SANTOSH AHLAWAT","Bharatiya Janata Party","RAJ BALA OLA","Indian National Congress","233835","Result Declared","Rajasthan"
"Jodhpur","16","GAJENDRASINGH SHEKHAWAT","Bharatiya Janata Party","CHANDRESH KUMARI","Indian National Congress","410051","Result Declared","Rajasthan"
"KARAULI-DHOLPUR","10","MANOJ RAJORIA","Bharatiya Janata Party","LAKKHIRAM","Indian National Congress","27216","Result Declared","Rajasthan"
"Kota","24","OM BIRLA","Bharatiya Janata Party","IJYARAJ SINGH","Indian National Congress","200782","Result Declared","Rajasthan"
"Nagaur","14","C R CHOUDHARY","Bharatiya Janata Party","DR JYOTI MIRDHA","Indian National Congress","75218","Result Declared","Rajasthan"
"Pali","15","P P CHOUDHARY","Bharatiya Janata Party","MUNNI DEVI GODARA","Indian National Congress","399039","Result Declared","Rajasthan"
"Rajsamand","22","HARIOM SINGH RATHORE","Bharatiya Janata Party","GOPAL SINGH SHEKHAWAT","Indian National Congress","395705","Result Declared","Rajasthan"
"Sikar","5","SUMEDHANAND SARASWATI","Bharatiya Janata Party","PRATAP SINGH JAT","Indian National Congress","239196","Result Declared","Rajasthan"
"TONK-SAWAI MADHOPUR","12","SUKHBIR SINGH JAUNAPURIA","Bharatiya Janata Party","MOHAMMED AZHARUDDIN","Indian National Congress","135311","Result Declared","Rajasthan"
"Udaipur","19","ARJUNLAL MEENA","Bharatiya Janata Party","RAGHUVIR SINGH","Indian National Congress","236762","Result Declared","Rajasthan"
"Sikkim","1","PREM DAS RAI","Sikkim Democratic Front","TEK NATH DHAKAL","Sikkim Krantikari Morcha","41742","Result Declared","Sikkim"
"Arakkonam","7","HARI, G.","All India Anna Dravida Munnetra Kazhagam","ELANGO, N.R","Dravida Munnetra Kazhagam","240766","Result Declared","Tamil Nadu"
"Arani","12","V.ELUMALAI","All India Anna Dravida Munnetra Kazhagam","R.SIVANANDAM","Dravida Munnetra Kazhagam","243844","Result Declared","Tamil Nadu"
"Chennai central","4","S.R. VIJAYAKUMAR","All India Anna Dravida Munnetra Kazhagam","DAYANIDHI MARAN","Dravida Munnetra Kazhagam","45841","Result Declared","Tamil Nadu"
"Chennai North","2","VENKATESH BABU .T.G","All India Anna Dravida Munnetra Kazhagam","GIRIRAJAN .R","Dravida Munnetra Kazhagam","99704","Result Declared","Tamil Nadu"
"Chennai South","3","DR. J. JAYAVARDHAN","All India Anna Dravida Munnetra Kazhagam","T.K.S.ELANGOVAN","Dravida Munnetra Kazhagam","136625","Result Declared","Tamil Nadu"
"Chidambaram","27","CHANDRAKASI, M","All India Anna Dravida Munnetra Kazhagam","THIRUMAAVALAVAN, THOL","Viduthalai Chiruthaigal Katchi","128495","Result Declared","Tamil Nadu"
"Coimbatore","20","NAGARAJAN, P.","All India Anna Dravida Munnetra Kazhagam","RADHAKRISHNAN, C.P.","Bharatiya Janata Party","42016","Result Declared","Tamil Nadu"
"Cuddalore","26","ARUNMOZHITHEVAN.A","All India Anna Dravida Munnetra Kazhagam","NANDAGOPALAKRISHNAN.K.","Dravida Munnetra Kazhagam","203125","Result Declared","Tamil Nadu"
"Dharmapuri","10","ANBUMANI RAMADOSS","Pattali Makkal Katchi","MOHAN.P.S","All India Anna Dravida Munnetra Kazhagam","77146","Result Declared","Tamil Nadu"
"Dindigul","22","UDHAYA KUMAR .M","All India Anna Dravida Munnetra Kazhagam","GANDHIRAJAN S","Dravida Munnetra Kazhagam","127845","Result Declared","Tamil Nadu"
"Erode","17","SELVAKUMARA CHINNAYAN S","All India Anna Dravida Munnetra Kazhagam","GANESHAMURTHI.A","Marumalarchi Dravida Munnetra Kazhagam","211563","Result Declared","Tamil Nadu"
"Kallakurichi","14","KAMARAJ. K","All India Anna Dravida Munnetra Kazhagam","MANIMARAN. R","Dravida Munnetra Kazhagam","223507","Result Declared","Tamil Nadu"
"Kancheepuram","6","MARAGATHAM  K","All India Anna Dravida Munnetra Kazhagam","SELVAM  G","Dravida Munnetra Kazhagam","146866","Result Declared","Tamil Nadu"
"Kanniyakumari","39","RADHAKRISHNAN P.","Bharatiya Janata Party","VASANTHA KUMAR H.","Indian National Congress","128662","Result Declared","Tamil Nadu"
"Karur","23","THAMBIDURAI,M.","All India Anna Dravida Munnetra Kazhagam","CHINNASAMY, M.","Dravida Munnetra Kazhagam","195247","Result Declared","Tamil Nadu"
"Krishnagiri","9","ASHOK KUMAR.K","All India Anna Dravida Munnetra Kazhagam","CHINNA PILLAPPA.P","Dravida Munnetra Kazhagam","206591","Result Declared","Tamil Nadu"
"Madurai","32","R.GOPALAKRISHNAN","All India Anna Dravida Munnetra Kazhagam","V VELUSAMY","Dravida Munnetra Kazhagam","197436","Result Declared","Tamil Nadu"
"Mayiladuthurai","28","BHARATHI MOHAN R.K","All India Anna Dravida Munnetra Kazhagam","HYDER ALI.S","Manithaneya Makkal Katchi","277050","Result Declared","Tamil Nadu"
"Nagapattinam","29","GOPAL. DR. K","All India Anna Dravida Munnetra Kazhagam","VIJAYAN. A.K.S","Dravida Munnetra Kazhagam","106079","Result Declared","Tamil Nadu"
"Namakkal","16","SUNDARAM P.R","All India Anna Dravida Munnetra Kazhagam","GANDHISELVAN.S","Dravida Munnetra Kazhagam","294374","Result Declared","Tamil Nadu"
"Nilgiris","19","GOPALAKRISHNAN, C.","All India Anna Dravida Munnetra Kazhagam","RAJA, A.","Dravida Munnetra Kazhagam","104940","Result Declared","Tamil Nadu"
"Perambalur","25","MARUTHARAJAA, R.P.","All India Anna Dravida Munnetra Kazhagam","SEEMANUR  PRABU, S.","Dravida Munnetra Kazhagam","213048","Result Declared","Tamil Nadu"
"Pollachi","21","MAHENDRAN.C","All India Anna Dravida Munnetra Kazhagam","ESWARAN.E.R.","Bharatiya Janata Party","140974","Result Declared","Tamil Nadu"
"Ramanathapuram","35","ANWHAR RAAJHAA.A","All India Anna Dravida Munnetra Kazhagam","MOHAMED JALEEL .S","Dravida Munnetra Kazhagam","119324","Result Declared","Tamil Nadu"
"Salem","15","PANNERSELVAM.V","All India Anna Dravida Munnetra Kazhagam","UMARANI. S","Dravida Munnetra Kazhagam","267610","Result Declared","Tamil Nadu"
"Sivaganga","31","SENTHILNATHAN PR","All India Anna Dravida Munnetra Kazhagam","DHURAI RAAJ SUBHA","Dravida Munnetra Kazhagam","229385","Result Declared","Tamil Nadu"
"Sriperumbudur","5","RAMACHANDRAN, K.N. THIRU","All India Anna Dravida Munnetra Kazhagam","JAGATHRAKSHAKAN, S. THIRU","Dravida Munnetra Kazhagam","102646","Result Declared","Tamil Nadu"
"Tenkasi","37","VASANTHI.M","All India Anna Dravida Munnetra Kazhagam","DR.KRISHNASAMY.K.","Puthiya Tamilagam","161774","Result Declared","Tamil Nadu"
"Thanjavur","30","PARASURAMAN.K","All India Anna Dravida Munnetra Kazhagam","BAALU.T.R","Dravida Munnetra Kazhagam","144119","Result Declared","Tamil Nadu"
"Theni","33","PARTHIPAN, R.","All India Anna Dravida Munnetra Kazhagam","PON. MUTHURAMALINGAM","Dravida Munnetra Kazhagam","314532","Result Declared","Tamil Nadu"
"Thiruvallur","1","VENUGOPAL.P.(DR)","All India Anna Dravida Munnetra Kazhagam","RAVIKUMAR.D","Viduthalai Chiruthaigal Katchi","323430","Result Declared","Tamil Nadu"
"Thoothukkudi","36","JEYASINGH THIYAGARAJ NATTERJEE.J","All India Anna Dravida Munnetra Kazhagam","JEGAN. P","Dravida Munnetra Kazhagam","124002","Result Declared","Tamil Nadu"
"Tiruchirappalli","24","KUMAR.P","All India Anna Dravida Munnetra Kazhagam","ANBHALAGAN.MU","Dravida Munnetra Kazhagam","150476","Result Declared","Tamil Nadu"
"Tirunelveli","38","PRABAKARAN.K.R.P","All India Anna Dravida Munnetra Kazhagam","DEVADASA SUNDARAM","Dravida Munnetra Kazhagam","126099","Result Declared","Tamil Nadu"
"Tiruppur","18","V.SATHYABAMA","All India Anna Dravida Munnetra Kazhagam","N.DINESHKUMAR","Desiya Murpokku Dravida Kazhagam","179315","Result Declared","Tamil Nadu"
"Tiruvannamalai","11","VANAROJA R","All India Anna Dravida Munnetra Kazhagam","ANNADURAI C N","Dravida Munnetra Kazhagam","168606","Result Declared","Tamil Nadu"
"Vellore","8","SENGUTTUVAN, B.","All India Anna Dravida Munnetra Kazhagam","SHANMUGAM, A.C.","Bharatiya Janata Party","59393","Result Declared","Tamil Nadu"
"Viluppuram","13","RAJENDRAN S","All India Anna Dravida Munnetra Kazhagam","MUTHAIYAN K DR","Dravida Munnetra Kazhagam","193367","Result Declared","Tamil Nadu"
"Virudhunagar","34","RADHAKRISHNAN T","All India Anna Dravida Munnetra Kazhagam","VAIKO","Marumalarchi Dravida Munnetra Kazhagam","145551","Result Declared","Tamil Nadu"
"Tripura East","2","JITENDRA CHOUDHURY","Communist Party of India  (Marxist)","SACHITRA DEBBARMA","Indian National Congress","484358","Result Declared","Tripura"
"Tripura West","1","SANKAR PRASAD DATTA","Communist Party of India  (Marxist)","ARUNODAY SAHA","Indian National Congress","503486","Result Declared","Tripura"
"Agra","18","DR. RAM SHANKAR KATHERIA","Bharatiya Janata Party","NARAYAN SINGH SUMAN","Bahujan Samaj Party","300263","Result Declared","Uttar Pradesh"
"Akbarpur","44","DEVENDRA SINGH @ BHOLE SINGH","Bharatiya Janata Party","ANIL SHUKLA WARSI","Bahujan Samaj Party","278997","Result Declared","Uttar Pradesh"
"Aligarh","15","SATISH KUMAR","Bharatiya Janata Party","DR. ARVIND KUMAR SINGH","Bahujan Samaj Party","286736","Result Declared","Uttar Pradesh"
"Allahabad","52","SHYAMA CHARAN GUPTA","Bharatiya Janata Party","KUNWAR REWATI RAMAN SINGH ALIAS MANI","Samajwadi Party","62009","Result Declared","Uttar Pradesh"
"Ambedkar Nagar","55","HARI OM PANDEY","Bharatiya Janata Party","RAKESH PANDEY","Bahujan Samaj Party","139429","Result Declared","Uttar Pradesh"
"Amethi","37","RAHUL GANDHI","Indian National Congress","SMRITI ZUBIN IRANI","Bharatiya Janata Party","107903","Result Declared","Uttar Pradesh"
"Amroha","9","KANWAR SINGH TANWAR","Bharatiya Janata Party","HUMERA AKHTAR","Samajwadi Party","158214","Result Declared","Uttar Pradesh"
"Aonla","24","DHARMENDRA KUMAR","Bharatiya Janata Party","KUNWAR SARVRAJ SINGH","Samajwadi Party","138429","Result Declared","Uttar Pradesh"
"Azamgarh","69","MULAYAM SINGH YADAV","Samajwadi Party","RAMAKANT YADAV","Bharatiya Janata Party","63204","Result Declared","Uttar Pradesh"
"Badaun","23","DHARMENDRA YADAV","Samajwadi Party","VAGISH PATHAK","Bharatiya Janata Party","166347","Result Declared","Uttar Pradesh"
"Baghpat","11","DR. SATYA PAL SINGH","Bharatiya Janata Party","GHULAM MOHAMMED","Samajwadi Party","209866","Result Declared","Uttar Pradesh"
"Bahraich","56","SADHVI SAVITRI BAI FOOLE","Bharatiya Janata Party","SHABBIR AHMAD","Samajwadi Party","95645","Result Declared","Uttar Pradesh"
"Ballia","72","BHARAT SINGH","Bharatiya Janata Party","NEERAJ SHEKHAR","Samajwadi Party","139434","Result Declared","Uttar Pradesh"
"Banda","48","BHAIRON PRASAD MISHRA","Bharatiya Janata Party","R. K. SINGH PATEL","Bahujan Samaj Party","115788","Result Declared","Uttar Pradesh"
"Bansgaon","67","KAMLESH PASWAN","Bharatiya Janata Party","SADAL PRASAD","Bahujan Samaj Party","189516","Result Declared","Uttar Pradesh"
"Barabanki","53","PRIYANKA SINGH RAWAT","Bharatiya Janata Party","P. L. PUNIA","Indian National Congress","211878","Result Declared","Uttar Pradesh"
"Bareilly","25","SANTOSH KUMAR GANGWAR","Bharatiya Janata Party","AYESHA ISLAM","Samajwadi Party","240685","Result Declared","Uttar Pradesh"
"Basti","61","HARISH CHANDRA  ALIAS  HARISH DWIVEDI","Bharatiya Janata Party","BRIJ KISHOR SINGH ""DIMPAL""","Samajwadi Party","33562","Result Declared","Uttar Pradesh"
"Bhadohi","78","VIRENDRA SINGH","Bharatiya Janata Party","RAKESH DHAR TRIPATHI","Bahujan Samaj Party","158039","Result Declared","Uttar Pradesh"
"Bijnor","4","KUNWAR BHARTENDRA","Bharatiya Janata Party","SHAHNAWAZ RANA","Samajwadi Party","205774","Result Declared","Uttar Pradesh"
"Bulandshahr","14","BHOLA SINGH","Bharatiya Janata Party","PRADEEP KUMAR JATAV","Bahujan Samaj Party","421973","Result Declared","Uttar Pradesh"
"Chandauli","76","DR MAHENDRA NATH PANDEY","Bharatiya Janata Party","ANIL KUMAR MAURYA","Bahujan Samaj Party","156756","Result Declared","Uttar Pradesh"
"Deoria","66","KALRAJ MISHRA","Bharatiya Janata Party","NIYAJ AHMAD","Bahujan Samaj Party","265386","Result Declared","Uttar Pradesh"
"Dhaurahra","29","REKHA","Bharatiya Janata Party","DAUD AHMAD","Bahujan Samaj Party","125675","Result Declared","Uttar Pradesh"
"Domariyaganj","60","JAGDAMBIKA PAL","Bharatiya Janata Party","MUHAMMAD MUQEEM","Bahujan Samaj Party","103588","Result Declared","Uttar Pradesh"
"Etah","22","RAJVEER SINGH (RAJU BHAIYA)","Bharatiya Janata Party","KU. DEVENDRA SINGH YADAV","Samajwadi Party","201001","Result Declared","Uttar Pradesh"
"Etawah","41","ASHOK KUMAR DOHAREY","Bharatiya Janata Party","PREMDAS KATERIYA","Samajwadi Party","172946","Result Declared","Uttar Pradesh"
"Faizabad","54","LALLU SINGH","Bharatiya Janata Party","MITRASEN YADAV","Samajwadi Party","282775","Result Declared","Uttar Pradesh"
